,t,"c=0.1,k=1.0,m=1.0,d0=0.1","c=0.5,k=0.25,m=3,d0=0.05","c=0.12,k=0.3,m=0.7,d0=0.08","c=0.07,k=0.2,m=5,d0=0.07","c=0.2,k=0.1,m=0.5,d0=0.05","c=0.12,k=0.3,m=2,d0=0.08","c=0.6,k=0.6,m=2,d0=0.09","c=0.2,k=0.4,m=3,d0=0.1"
210,5.25,0.03563103002697174,0.013521109165858679,-0.05098886865848044,0.035659855207032486,-0.0012814969051411194,-0.02535416381584074,-0.03380653616037914,-0.02059524523476598
211,5.275,0.03727773854530447,0.013279667640952368,-0.05076136750545382,0.03536674723674585,-0.0014692658007836982,-0.025948296460167407,-0.03401663610829659,-0.021319703477468054
212,5.300000000000001,0.03889706715833522,0.013038539822037473,-0.05052127187344482,0.03507285782417029,-0.0016549836236141545,-0.02653910776336805,-0.03421881203919935,-0.02204118014548269
213,5.325,0.04048807346664552,0.012797736937283496,-0.050268699795577625,0.034778194588697124,-0.0018386476833484053,-0.027126547357113128,-0.03441308539531144,-0.02275962013139846
214,5.3500000000000005,0.04204983510228443,0.012557270151284846,-0.05000377213488232,0.03448276516639353,-0.0020202555719095587,-0.027710565264427285,-0.03459947893480885,-0.023474968672417527
215,5.375,0.04358145025448189,0.012317150564744939,-0.04972661253988863,0.03418657720980583,-0.0021998051609193534,-0.02829111190378447,-0.03477801671773566,-0.024187171354341258
216,5.4,0.04508203818121903,0.01207738921416486,-0.049437347399665064,0.03388963838776235,-0.0023772945991798974,-0.02886813809316023,-0.03494872409178222,-0.02489617411552083
217,5.425000000000001,0.0465507397063691,0.011837997071536736,-0.04913610579831788,0.03359195638517617,-0.002552722310145852,-0.02944159505403988,-0.035111627677929184,-0.025601923250771038
218,5.45,0.04798671770213682,0.01159898504404167,-0.04882301946896429,0.0332935389028473,-0.0027260869893877405,-0.03001143441538339,-0.035266755355960744,-0.026304365415248606
219,5.4750000000000005,0.04938915755653076,0.011360363973752344,-0.04849822274719444,0.03299439365726469,-0.002897387602046557,-0.030577608217546147,-0.03541413624985121,-0.027003447628293775
220,5.5,0.050757267625613826,0.011122144637340221,-0.04816185252403695,0.0326945283804079,-0.0030666233802801915,-0.031140068916154742,-0.035553800713028175,-0.02769911727723517
221,5.525,0.052090279670289216,0.010884337745787332,-0.04781404819844244,0.03239395081954829,-0.003233793820702115,-0.03169876938593878,-0.035685780313516234,-0.02839132212115765
222,5.550000000000001,0.05338744927738552,0.010646953944102784,-0.04745495162930002,0.032092668737050176,-0.003398898681812568,-0.03225366292451726,-0.03581010781896484,-0.02908001029463303
223,5.575,0.05464805626481958,0.01041000381104377,-0.04708470708700159,0.03179068991017139,-0.003561937981422789,-0.032804703256139565,-0.03592681718156388,-0.029765130311413264
224,5.6000000000000005,0.055871405070622736,0.01017349785884116,-0.04670346120456843,0.03148802213086372,-0.003722911994072649,-0.03335184453538134,-0.0360359435228508,-0.030446631068086014
225,5.625,0.05705682512562784,0.00993744653292985,-0.046311362928355825,0.03118467320557301,-0.0038818212484419503,-0.03389504135079406,-0.03613752311841262,-0.031124461847691843
226,5.65,0.05820367120962597,0.009701860211683528,-0.045908563468349615,0.03088065095503901,-0.004038666524755991,-0.03443424872850872,-0.03623159338248696,-0.031798572323303985
227,5.675000000000001,0.059311323790810964,0.009466749206154123,-0.04549521624807073,0.03057596321409482,-0.004193448852185591,-0.03496942213579304,-0.03631819285246517,-0.03246891256156893
228,5.7,0.06037918934834241,0.009232123759815814,-0.04507147685410222,0.030270617831466118,-0.004346169506242,-0.03550051748456199,-0.036397361173301654,-0.033135433026208694
229,5.7250000000000005,0.06140670067786738,0.008997994048313616,-0.04463750298525374,0.02996462266957015,-0.004496830006167194,-0.036027491134841556,-0.03646913908183268,-0.03379808458148413
230,5.75,0.06239331717985289,0.008764370179216533,-0.044193454401379395,0.029657985604314402,-0.004645432112319685,-0.03655029989818518,-0.03653356839100841,-0.03445681849561916
231,5.775,0.063338525130592,0.00853126219177528,-0.04373949287186296,0.02935071452489499,-0.0047919778235565,-0.0370689010410428,-0.036590691974041765,-0.03511158644418557
232,5.800000000000001,0.06424183793575777,0.008298680056684573,-0.043275782123786986,0.02904281733359491,-0.004936469374611401,-0.03758325228808222,-0.03664055374847769,-0.035762340513448475
233,5.825,0.06510279636639037,0.008066633675849963,-0.042802487789799705,0.028734301945581853,-0.005078909233469965,-0.03809331182546273,-0.03668319866018634,-0.03640903320367148
234,5.8500000000000005,0.0659209687772138,0.007835132882159158,-0.042319777355695906,0.02842517628870582,-0.005219300098741736,-0.03859903830406037,-0.03671867266728381,-0.03705161743238277
235,5.875,0.06669595130719017,0.007604187439258041,-0.04182782010772666,0.028115448303296587,-0.0053576448970298176,-0.03910039084264488,-0.03674702272398388,-0.03769004653760008
236,5.9,0.06742736806223049,0.00737380704133099,-0.04132678707965302,0.027805125941960877,-0.005493946780298318,-0.03959732903100831,-0.036768296764384374,-0.03832427428101592
237,5.925000000000001,0.0681148712799929,0.007144001312885961,-0.04081685099955921,0.027494217169379186,-0.005628209123237917,-0.04008981293304428,-0.03678254368619171,-0.038954254851141866
238,5.95,0.06875814147670976,0.0069147798085439065,-0.04029818623644029,0.027182729962102633,-0.0057604355206299866,-0.04057780308977887,-0.0367898133343869,-0.039579942866412275
239,5.9750000000000005,0.0693568875759972,0.00668615201283277,-0.039770968746579836,0.02687067230834932,-0.0058906297847095635,-0.04106126052235168,-0.03679015648483678,-0.04020129337824701
240,6.0,0.06991084701961131,0.006458127339985998,-0.03923537601973247,0.026558052207800564,-0.006018795942527461,-0.04154014673494776,-0.03678362482785377,-0.0408182618740727
241,6.025,0.0704197858601273,0.006230715133745505,-0.038691587025126865,0.026244877671396962,-0.006144938233311997,-0.042014423717680056,-0.036770270951707644,-0.041430804280303345
242,6.050000000000001,0.07088349883552872,0.0060039246671691445,-0.038139782157304146,0.025931156721134215,-0.006269061105830479,-0.0424840539494214,-0.036750148326092795,-0.0420388769652787
243,6.075,0.07130180942570526,0.00577776514244265,-0.03758014318180702,0.025616897389858815,-0.00639116921575099,-0.04294900040058713,-0.03672331128555434,-0.04264243674216138
244,6.1000000000000005,0.07167456989086941,0.0055522456906960385,-0.0370128531807346,0.02530210772106328,-0.006511267423004615,-0.04340922653586726,-0.03668981501287657,-0.043241440871791936
245,6.125,0.07200166129191271,0.005327375371824484,-0.03643809649817838,0.024986795768681597,-0.006629360789148516,-0.043864696316907974,-0.036649715522437065,-0.04383584706550197
246,6.15,0.07228299349273416,0.005103163174313569,-0.035856058685554096,0.024670969596884074,-0.006745454574730226,-0.04431537420494301,-0.03660306964352975,-0.04442561348788505
247,6.175000000000001,0.07251850514458445,0.004879618015069121,-0.03526692644684468,0.024354637279872283,-0.00685955423665333,-0.044761225163374004,-0.036549935003660515,-0.045010698759525306
248,6.2,0.07270816365248052,0.004656748739251342,-0.034670887583769704,0.024037806901673703,-0.006971665425545013,-0.04520221466029991,-0.036490370011818374,-0.04559106195968323
249,6.2250000000000005,0.07285196512375633,0.004434564120113354,-0.03406813094089489,0.023720486555936223,-0.007081793983125686,-0.04563830867099558,-0.03642443384172576,-0.046166662628939426
250,6.25,0.07294993429882644,0.004213072858844294,-0.03345884635069927,0.02340268434572249,-0.007189945939580962,-0.04606947368033891,-0.03635218641507105,-0.046737460771794886
251,6.275,0.07300212446425004,0.003992283584416656,-0.0328432245786113,0.023084408383304077,-0.007296127510936438,-0.04649567668518661,-0.036273688384726714,-0.047303416859228696
252,6.300000000000001,0.07300861734819393,0.0037722048534380853,-0.03222145726803259,0.02276566678995541,-0.007400345096435413,-0.04691688519669864,-0.036189001117956254,-0.04786449183121253
253,6.325,0.07296952299840366,0.0035528451500075526,-0.03159373688536045,0.022446467695747697,-0.007502605275919911,-0.0473330672426107,-0.03609818667961314,-0.04842064709918191
254,6.3500000000000005,0.07288497964280276,0.0033342128855758817,-0.030960256665026567,0.022126819239342593,-0.00760291480721536,-0.047744191369455215,-0.036001307815335046,-0.04897184454846414
255,6.375,0.07275515353285006,0.0031163163988106386,-0.03032121055456515,0.021806729567785867,-0.007701280623519073,-0.0481502266447302,-0.03589842793473643,-0.04951804654066244
256,6.4,0.07258023876979648,0.0028991639554653646,-0.02967679315972535,0.021486206836300637,-0.007797709830792998,-0.048551142659016125,-0.035789611094602686,-0.05005921591599735
257,6.425000000000001,0.07236045711399205,0.0026827637482531395,-0.029027199689642562,0.021165259208080885,-0.00789220970516082,-0.04894690952804052,-0.035674921982089006,-0.0505953159956029
258,6.45,0.07209605777740458,0.0024671238967244862,-0.028372625902082917,0.02084389485408443,-0.007984787690309879,-0.04933749789469055,-0.035554425897927,-0.05112631058378044
259,6.4750000000000005,0.07178731719952143,0.002252252447149512,-0.02771326804877524,0.02052212195282608,-0.008075451394898072,-0.04972287893097291,-0.03542818873964216,-0.05165216397020749
260,6.5,0.07143453880681598,0.0020381573724045027,-0.027049322820844907,0.020199948690170545,-0.008164208589966025,-0.05010302433992121,-0.03529627698478535,-0.05217284093210288
261,6.525,0.07103805275596947,0.0018248465718625972,-0.026380987294363445,0.019877383259125206,-0.008251067206354832,-0.050477906357451134,-0.035158757674181085,-0.05268830673634763
262,6.550000000000001,0.07059821566104957,0.0016123278712889364,-0.02570845887602826,0.019554433859632934,-0.008336035332129604,-0.05084749775416235,-0.03501569839519588,-0.05319852714156157
263,6.575,0.07011541030485557,0.0014006090227399353,-0.025031935248986194,0.019231108698364623,-0.008419121210009107,-0.05121177183708809,-0.034867167265029496,-0.05370346840013529
264,6.6000000000000005,0.06959004533465044,0.0011896977044668594,-0.024351614318814926,0.018907415988511676,-0.008500333234801753,-0.051570702451391615,-0.03471323291403201,-0.05420309726021815
265,6.625,0.06902255494250789,0.000979601520823636,-0.023667694159675932,0.01858336394957848,-0.00857967995084814,-0.051924263982009694,-0.03455396446904982,-0.05469738096766114
