,t,"R=0.1,L=1.0,C=1.0,I0=0.1,V0=0.3 ","R=0.5,L=0.25,C=0.3,I0=0.05,V0=0.6 ","R=0.7,L=0.1,C=0.1,I0=0.02,V0=0.9 ","R=0.07,L=0.2,C=0.2,I0=0.07,V0=1.0 ","R=0.2,L=0.1,C=1.0,I0=0.05,V0=0.4 ","R=0.12,L=0.3,C=0.7,I0=0.08,V0=0.6 ","R=0.6,L=0.6,C=0.6,I0=0.09,V0=0.2 ","R=0.2,L=0.4,C=0.3,I0=0.1,V0=0.3 "
419,10.475000000000001,0.12559397422001412,1.6440183332277926e-05,7.588536705367769e-17,-0.1456855812099654,1.065785939992411e-06,0.0725014678605945,0.0007460696980652713,0.02089290733215139
420,10.5,0.1289638112341516,1.50369889971897e-05,8.623035276924339e-17,-0.13547789861524723,-1.7497243636136344e-06,0.07682857461216766,0.0007804589576503728,0.020821694122240005
421,10.525,0.13224473665748207,1.3580087008988234e-05,8.999603724447678e-17,-0.1232542785321793,-4.417259280646116e-06,0.08088516536317872,0.0008126611702892519,0.020643640955196295
422,10.55,0.13543492458072903,1.2083930824349642e-05,8.802389051660943e-17,-0.1092221968862908,-6.9277819719876784e-06,0.08466192175038303,0.00084267512877712,0.02036099620667674
423,10.575000000000001,0.1385326102908462,1.0562587849999411e-05,8.134757022578714e-17,-0.09361541944086664,-9.27365302902583e-06,0.08815044661430474,0.0008705034071298685,0.01997652144493237
424,10.600000000000001,0.14153609121972852,9.029644004051912e-06,7.110310852664257e-17,-0.07669014084062784,-1.1448608868207666e-05,0.0913432796939435,0.0008961522628126517,0.019493470768384206
425,10.625,0.1444437278517642,7.4981168429773966e-06,5.844767852865686e-17,-0.058720808822987205,-1.3447732796197166e-05,0.09423391039150997,0.000919631535067767,0.01891556785168262
426,10.65,0.14725394458976554,5.980377542096938e-06,4.449019635690414e-17,-0.039995701217174606,-1.5267419279403935e-05,0.09681678759855636,0.0009409545396124502,0.018246980847472404
427,10.675,0.1499652305788382,4.488081931549604e-06,3.02358170911281e-17,-0.020812326603285428,-1.690533196701463e-05,0.09908732658364508,0.0009601379599767053,0.017492295300350853
428,10.700000000000001,0.1525761404877842,3.0321107062711355e-06,1.6545259910330414e-17,-0.0014727216255691724,-1.83603560279494e-05,0.1010419129504068,0.0009772017357504513,0.016656485237845464
429,10.725000000000001,0.15508529524765383,1.6225188482240263e-06,4.108901767997203e-18,0.017721281075962755,-1.963254536947229e-05,0.10267790368341483,0.0009921689480078585,0.01574488261062239
430,10.75,0.15749138274709418,2.6849422242460894e-07,-6.5652537171124904e-18,0.03647274053942202,-2.072306530868347e-05,0.10399362530776049,0.001005065702174971,0.01476314526053917
