,R,L,C,U,w,phi0,U/I,phi0-phi1
34,0.5,0.07999999821186066,0.05000000074505806,9.5,9.5,0.5,1.4351796927542981,-1.2149312631381917
35,0.5,0.07999999821186066,0.05000000074505806,9.5,10.0,0.0,1.3000002263402552,-1.1760056417423508
36,0.5,0.07999999821186066,0.05000000074505806,9.5,10.0,0.125,1.3000001382243072,-1.1760056186757555
37,0.5,0.07999999821186066,0.05000000074505806,9.5,10.0,0.25,1.3000000704615569,-1.1760056333412854
38,0.5,0.07999999821186066,0.05000000074505806,9.5,10.0,0.375,1.3000000230519988,-1.1760065271074047
39,0.5,0.07999999821186066,0.05000000074505806,9.5,10.0,0.5,1.300001767775202,-1.175992245316826
40,0.5,0.07999999821186066,0.05000000074505806,9.5,10.5,0.0,1.176317268153294,-1.1317758967919742
41,0.5,0.07999999821186066,0.05000000074505806,9.5,10.5,0.125,1.1763163695689407,-1.1317750619665687
42,0.5,0.07999999821186066,0.05000000074505806,9.5,10.5,0.25,1.1763154046458164,-1.131772565557882
43,0.5,0.07999999821186066,0.05000000074505806,9.5,10.5,0.375,1.1763153932457533,-1.1317725561753194
44,0.5,0.07999999821186066,0.05000000074505806,9.5,10.5,0.5,1.1763160209369978,-1.1317636880267479
45,0.5,0.07999999821186066,0.05000000074505806,9.5,11.0,0.0,1.063101705610894,-1.0811409130684098
46,0.5,0.07999999821186066,0.05000000074505806,9.5,11.0,0.125,1.0631019522288059,-1.0811415623567007
47,0.5,0.07999999821186066,0.05000000074505806,9.5,11.0,0.25,1.0631020464369985,-1.0811423490591419
48,0.5,0.07999999821186066,0.05000000074505806,9.5,11.0,0.375,1.0631021361220994,-1.0811448103610257
49,0.5,0.07999999821186066,0.05000000074505806,9.5,11.0,0.5,1.063102664986223,-1.0810477476912546
50,0.5,0.07999999821186066,0.05000000074505806,10.0,9.0,0.0,1.5832480522095846,-1.2494913242151038
51,0.5,0.07999999821186066,0.05000000074505806,10.0,9.0,0.125,1.5832471579916467,-1.2494896311309338
52,0.5,0.07999999821186066,0.05000000074505806,10.0,9.0,0.25,1.5832476187179922,-1.2494937222829
53,0.5,0.07999999821186066,0.05000000074505806,10.0,9.0,0.375,1.5832509542450666,-1.2494449540859844
54,0.5,0.07999999821186066,0.05000000074505806,10.0,9.0,0.5,1.5832480522095849,-1.2494864841014883
55,0.5,0.07999999821186066,0.05000000074505806,10.0,9.5,0.0,1.4351773751836097,-1.214945116296278
56,0.5,0.07999999821186066,0.05000000074505806,10.0,9.5,0.125,1.435178223524519,-1.2149480765463903
57,0.5,0.07999999821186066,0.05000000074505806,10.0,9.5,0.25,1.4351769685465559,-1.2149443633658832
58,0.5,0.07999999821186066,0.05000000074505806,10.0,9.5,0.375,1.4351784323871244,-1.214890941520824
59,0.5,0.07999999821186066,0.05000000074505806,10.0,9.5,0.5,1.4351796927542984,-1.2149312631381917
60,0.5,0.07999999821186066,0.05000000074505806,10.0,10.0,0.0,1.300000226340255,-1.1760056417423508
61,0.5,0.07999999821186066,0.05000000074505806,10.0,10.0,0.125,1.3000001382243072,-1.1760056186757555
62,0.5,0.07999999821186066,0.05000000074505806,10.0,10.0,0.25,1.3000000704615564,-1.1760056333412854
63,0.5,0.07999999821186066,0.05000000074505806,10.0,10.0,0.375,1.300000023051999,-1.1760065271074103
64,0.5,0.07999999821186066,0.05000000074505806,10.0,10.0,0.5,1.3000017677752023,-1.1759922453168248
65,0.5,0.07999999821186066,0.05000000074505806,10.0,10.5,0.0,1.176317268153294,-1.1317758967919742
66,0.5,0.07999999821186066,0.05000000074505806,10.0,10.5,0.125,1.176316369568941,-1.1317750619665683
67,0.5,0.07999999821186066,0.05000000074505806,10.0,10.5,0.25,1.176315404645817,-1.1317725655578827
68,0.5,0.07999999821186066,0.05000000074505806,10.0,10.5,0.375,1.1763153932457535,-1.1317725561753194
69,0.5,0.07999999821186066,0.05000000074505806,10.0,10.5,0.5,1.176316020936998,-1.1317636880267496
70,0.5,0.07999999821186066,0.05000000074505806,10.0,11.0,0.0,1.0631017056108942,-1.0811409130684095
71,0.5,0.07999999821186066,0.05000000074505806,10.0,11.0,0.125,1.0631019522288059,-1.0811415623567
72,0.5,0.07999999821186066,0.05000000074505806,10.0,11.0,0.25,1.0631020464369982,-1.0811423490591414
73,0.5,0.07999999821186066,0.05000000074505806,10.0,11.0,0.375,1.0631021361220994,-1.0811448103610257
74,0.5,0.07999999821186066,0.05000000074505806,10.0,11.0,0.5,1.063102664986223,-1.0810477476912546
75,0.5,0.07999999821186066,0.05000000074505806,10.5,9.0,0.0,1.5832480522095846,-1.2494913242151038
76,0.5,0.07999999821186066,0.05000000074505806,10.5,9.0,0.125,1.583247157991647,-1.2494896311309338
77,0.5,0.07999999821186066,0.05000000074505806,10.5,9.0,0.25,1.583247618717992,-1.2494937222829
78,0.5,0.07999999821186066,0.05000000074505806,10.5,9.0,0.375,1.5832509542450668,-1.2494449540859864
79,0.5,0.07999999821186066,0.05000000074505806,10.5,9.0,0.5,1.5832480522095849,-1.2494864841014883
80,0.5,0.07999999821186066,0.05000000074505806,10.5,9.5,0.0,1.4351773751836099,-1.2149451162962777
81,0.5,0.07999999821186066,0.05000000074505806,10.5,9.5,0.125,1.435178223524519,-1.2149480765463898
82,0.5,0.07999999821186066,0.05000000074505806,10.5,9.5,0.25,1.4351769685465559,-1.2149443633658832
83,0.5,0.07999999821186066,0.05000000074505806,10.5,9.5,0.375,1.4351784323871244,-1.2148909415208182
84,0.5,0.07999999821186066,0.05000000074505806,10.5,9.5,0.5,1.4351796927542984,-1.2149312631381917
85,0.5,0.07999999821186066,0.05000000074505806,10.5,10.0,0.0,1.300000226340255,-1.1760056417423503
86,0.5,0.07999999821186066,0.05000000074505806,10.5,10.0,0.125,1.300000138224307,-1.1760056186757555
87,0.5,0.07999999821186066,0.05000000074505806,10.5,10.0,0.25,1.3000000704615566,-1.1760056333412847
88,0.5,0.07999999821186066,0.05000000074505806,10.5,10.0,0.375,1.300000023051999,-1.1760065271074103
89,0.5,0.07999999821186066,0.05000000074505806,10.5,10.0,0.5,1.3000017677752025,-1.175992245316826
90,0.5,0.07999999821186066,0.05000000074505806,10.5,10.5,0.0,1.176317268153294,-1.1317758967919744
91,0.5,0.07999999821186066,0.05000000074505806,10.5,10.5,0.125,1.176316369568941,-1.1317750619665687
92,0.5,0.07999999821186066,0.05000000074505806,10.5,10.5,0.25,1.1763154046458166,-1.1317725655578827
93,0.5,0.07999999821186066,0.05000000074505806,10.5,10.5,0.375,1.1763153932457533,-1.1317725561753194
94,0.5,0.07999999821186066,0.05000000074505806,10.5,10.5,0.5,1.1763160209369978,-1.1317636880267516
95,0.5,0.07999999821186066,0.05000000074505806,10.5,11.0,0.0,1.063101705610894,-1.0811409130684098
96,0.5,0.07999999821186066,0.05000000074505806,10.5,11.0,0.125,1.063101952228806,-1.0811415623567004
97,0.5,0.07999999821186066,0.05000000074505806,10.5,11.0,0.25,1.0631020464369982,-1.0811423490591414
98,0.5,0.07999999821186066,0.05000000074505806,10.5,11.0,0.375,1.0631021361220994,-1.0811448103610257
